Compound_name	Metabolite_score	p_value
C09814	Benzonitrile	4	<0.01
C16216	3-Oxostearoyl-CoA	4	<0.01
C02938	3-Indoleacetonitrile	4	<0.01
C00446	alpha-D-Galactose_1-phosphate	4	<0.01
C05714	alpha-Aminopropiononitrile	4	<0.01
C05715	gamma-Amino-gamma-cyanobutanoate	4	<0.01
C16074	Phenylacetonitrile	4	<0.01
C00726	Nitrile	4	<0.01
C15973	Enzyme_N6-(dihydrolipoyl)lysine	3.961	<0.01
C00620	alpha-D-Ribose_1-phosphate	3.954	<0.01
C00078	L-Tryptophan	3.907	<0.01
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	3.907	<0.01
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	3.907	<0.01
C00221	beta-D-Glucose	3.807	<0.01
C05841	Nicotinate_D-ribonucleoside	3.807	<0.01
C00080	H+	3.807	<0.01
C00330	Deoxyguanosine	3.807	<0.01
C16633	5-Fluorouridine	3.807	<0.01
C00301	ADP-ribose	3.807	<0.01
C01050	UDP-N-acetylmuramate	3.778	<0.01
C01697	Galactitol	3.7	<0.01
C16272	3-Hydroxy-5-oxohexanoate	3.7	<0.01
C06250	Holo-[carboxylase]	3.605	<0.01
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	3.585	<0.01
C00881	Deoxycytidine	3.585	<0.01
C04646	6-Thioinosine-5'-monophosphate	3.585	<0.05
C00344	Phosphatidylglycerol	3.585	<0.01
C16635	5'-Deoxy-5-fluorocytidine	3.585	<0.01
C01762	Xanthosine	3.585	<0.01
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	3.585	<0.05
C03114	Dimethylbenzimidazole	3.585	<0.01
C00166	Phenylpyruvate	3.557	<0.01
C00387	Guanosine	3.503	<0.01
C01185	Nicotinate_D-ribonucleotide	3.459	<0.01
C03688	Apo-[acyl-carrier-protein]	3.459	<0.01
C00672	2-Deoxy-D-ribose_1-phosphate	3.459	<0.01
C05984	2-Hydroxybutanoic_acid	3.459	<0.01
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.459	<0.01
C00012	Peptide	3.459	<0.01
C00831	Pantetheine	3.459	<0.01
C00794	D-Sorbitol	3.406	<0.01
C00369	Starch	3.392	<0.01
C00047	L-Lysine	3.369	<0.01
C05752	Octanoyl-[acp]	3.322	<0.01
C05223	Dodecanoyl-[acyl-carrier_protein]	3.322	<0.01
C05764	Hexadecanoyl-[acp]	3.322	<0.01
C05761	Tetradecanoyl-[acp]	3.322	<0.01
C00763	D-Proline	3.322	<0.01
C05755	Decanoyl-[acp]	3.322	<0.01
C05749	Hexanoyl-[acp]	3.322	<0.01
C05745	Butyryl-[acp]	3.322	<0.01
C03150	Nicotinamide-beta-riboside	3.322	<0.01
C00040	Acyl-CoA	3.259	<0.01
C06186	Arbutin	3.248	<0.01
C00294	Inosine	3.222	<0.01
C16614	6-Methylmercaptopurine	3.17	<0.01
C00864	Pantothenate	3.17	<0.01
C07648	Thioguanine	3.17	<0.01
C03263	Coproporphyrinogen_III	3.17	<0.01
C02380	6-Mercaptopurine	3.17	<0.01
C00725	Lipoate	3.17	<0.01
C00036	Oxaloacetate	3.137	<0.01
C00334	4-Aminobutanoate	3.044	<0.01
C00031	D-Glucose	3.036	<0.01
C01209	Malonyl-[acyl-carrier_protein]	3.015	<0.01
C04376	5'-Phosphoribosyl-N-formylglycinamide	3	<0.01
C00255	Riboflavin	3	<0.01
C05682	Phosphonoacetate	3	<0.01
C06508	Adenosyl_cobinamide	3	<0.01
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3	<0.01
C00097	L-Cysteine	2.988	<0.01
C00267	alpha-D-Glucose	2.951	<0.01
C00212	Adenosine	2.874	<0.01
C01451	Salicin	2.807	<0.01
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	2.807	<0.01
C01083	alpha,alpha-Trehalose	2.807	<0.01
C02713	N-Acetylmuramate	2.807	<0.01
C00093	sn-Glycerol_3-phosphate	2.787	<0.01
C00217	D-Glutamate	2.7	<0.01
C00668	alpha-D-Glucose_6-phosphate	2.692	<0.01
C01097	D-Tagatose_6-phosphate	2.678	<0.01
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	2.585	<0.01
C00499	Allantoate	2.585	<0.01
C02291	L-Cystathionine	2.585	<0.01
C07645	Aldophosphamide	2.585	<0.01
C11539	Cobalt-precorrin_3	2.585	<0.01
C03451	(R)-S-Lactoylglutathione	2.585	<0.01
C00491	L-Cystine	2.585	<0.01
C06899	Chloral_hydrate	2.585	<0.01
C00473	Retinol	2.585	<0.01
C00455	Nicotinamide_D-ribonucleotide	2.585	<0.01
C05699	L-Selenocystathionine	2.585	<0.01
C06406	Precorrin_3B	2.585	<0.01
C00568	4-Aminobenzoate	2.585	<0.01
C16586	2-Phenyl-1,3-propanediol_monocarbamate	2.585	<0.01
C00931	Porphobilinogen	2.585	<0.01
C00101	Tetrahydrofolate	2.524	<0.01
C00459	dTTP	2.402	<0.01
C00064	L-Glutamine	2.373	<0.01
C03939	Acetyl-[acyl-carrier_protein]	2.363	<0.01
C00181	D-Xylose	2.322	<0.01
C03479	Folinic_acid	2.322	<0.01
C00152	L-Asparagine	2.28	<0.01
C00065	L-Serine	2.271	<0.01
C00208	Maltose	2.248	<0.01
C00979	O-Acetyl-L-serine	2.209	<0.01
C00073	L-Methionine	2.202	<0.01
C00062	L-Arginine	2.115	<0.01
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2	<0.01
C00906	5,6-Dihydrothymine	2	<0.01
C00460	dUTP	2	<0.01
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	2	<0.01
C00429	5,6-Dihydrouracil	2	<0.01
C16630	5,6-Dihydro-5-fluorouracil	2	<0.01
C05760	trans-Tetradec-2-enoyl-[acp]	2	<0.01
C05763	trans-Hexadec-2-enoyl-[acp]	2	<0.01
C00857	Deamino-NAD+	2	<0.01
C16221	(2E)-Octadecenoyl-[acp]	2	<0.01
C05748	trans-Hex-2-enoyl-[acp]	2	<0.01
C06408	Precorrin_8X	2	<0.01
C05751	trans-Oct-2-enoyl-[acp]	2	<0.01
C05754	trans-Dec-2-enoyl-[acp]	2	<0.01
C05758	trans-Dodec-2-enoyl-[acp]	2	<0.01
C04246	But-2-enoyl-[acyl-carrier_protein]	2	<0.01
C00192	Hydroxylamine	2	<0.01
C00279	D-Erythrose_4-phosphate	1.976	<0.05
C00655	Xanthosine_5'-phosphate	1.884	<0.01
C03972	2,3,4,5-Tetrahydrodipicolinate	1.775	<0.01
C01100	L-Histidinol_phosphate	1.737	<0.05
C01233	sn-Glycero-3-phosphoethanolamine	1.585	<0.01
C00314	Pyridoxine	1.585	<0.01
C00262	Hypoxanthine	1.585	<0.01
C00250	Pyridoxal	1.585	<0.01
C00670	sn-Glycero-3-phosphocholine	1.585	<0.01
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	1.585	<0.01
C03194	(R)-1-Aminopropan-2-ol	1.585	<0.01
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	1.585	<0.01
C00134	Putrescine	1.503	<0.01
C00448	trans,trans-Farnesyl_diphosphate	1.459	<0.01
C06509	Adenosyl_cobinamide_phosphate	1.415	<0.01
C00680	meso-2,6-Diaminoheptanedioate	1.283	<0.01
C00705	dCDP	1.263	<0.01
C05670	3-Aminopropiononitrile	1	<0.01
C02320	R-S-Glutathione	1	<0.01
C01101	L-Ribulose_5-phosphate	1	<0.01
C02512	3-Cyano-L-alanine	1	<0.01
C01077	O-Acetyl-L-homoserine	1	<0.01
C12147	L-Threonine_O-3-phosphate	1	<0.01
C00329	D-Glucosamine	1	<0.01
C00969	3-Hydroxypropanal	1	<0.01
C00245	Taurine	1	<0.01
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1	<0.01
C00988	2-Phosphoglycolate	1	<0.01
C00151	L-Amino_acid	1	<0.01
C04039	2,3-Dihydroxy-3-methylbutanoate	1	<0.01
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	1	<0.01
C00479	Propanal	1	<0.01
C02166	Leukotriene_C4	1	<0.01
C00051	Glutathione	1	<0.01
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	1	<0.01
C03492	D-4'-Phosphopantothenate	1	<0.05
C03090	5-Phosphoribosylamine	0.848	<0.01
C00283	Hydrogen_sulfide	0.837	<0.01
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.737	<0.01
C01172	beta-D-Glucose_6-phosphate	0.503	<0.01
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.322	<0.01
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.322	<0.01
C00251	Chorismate	0.115	<0.01
C16242	Cobalt-precorrin_5A	0	<0.01
C00944	3-Dehydroquinate	0	<0.01
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	0	<0.05
C00437	N-Acetylornithine	0	<0.01
C00826	L-Arogenate	0	<0.01
C01181	4-Trimethylammoniobutanoate	0	<0.01
C15815	C15815	0	<0.01
C16688	Sucrose_6-phosphate	0	<0.01
C05840	Iminoaspartate	0	<0.01
C02504	alpha-Isopropylmalate	0	<0.01
C00365	dUMP	0	<0.01
C16244	Cobalt-precorrin_7	0	<0.01
C06507	Adenosyl_cobyrinate_hexaamide	0	<0.01
C02612	(R)-2-Methylmalate	0	<0.01
C00099	beta-Alanine	0	<0.01
C00760	Cellulose	0	<0.01
C00094	Sulfite	0	<0.01
C00433	2,5-Dioxopentanoate	0	<0.01
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0	<0.05
C05172	Selenophosphoric_acid	0	<0.01
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0	<0.01
C11949	3-Isopropylbut-3-enoyl-CoA	0	<0.01
C07118	Benzoyl_acetyl-CoA	0	<0.01
C00162	Fatty_acid	0	<0.01
C03082	4-Phospho-L-aspartate	0	<0.01
C20396	Methylphosphonate	0	<0.01
C01149	4-Trimethylammoniobutanal	0	<0.01
C01146	2-Hydroxy-3-oxopropanoate	0	<0.01
C02463	Precorrin_2	0	<0.01
C03232	3-Phosphonooxypyruvate	0	<0.01
C00269	CDP-diacylglycerol	0	<0.01
C00130	IMP	0	<0.01
C05635	5-Hydroxyindoleacetate	0	<0.01
C05634	5-Hydroxyindoleacetaldehyde	0	<0.01
C00149	(S)-Malate	0	<0.01
C06482	L-Selenocysteinyl-tRNA(Sec)	0	<0.01
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0	<0.01
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0	<0.01
C06002	(S)-Methylmalonate_semialdehyde	0	<0.01
C06006	(S)-2-Aceto-2-hydroxybutanoate	0	<0.01
C16565	Aminopropylcadaverine	0	<0.01
C00818	D-Glucarate	0	<0.01
C00424	(S)-Lactaldehyde	0	<0.01
C01672	Cadaverine	0	<0.01
C15809	Iminoglycine	0	<0.01
C05338	4-Hydroxyphenylacetyl-CoA	0	<0.01
C00392	Mannitol	0	<0.01
C00258	D-Glycerate	0	<0.01
C05335	L-Selenomethionine	0	<0.01
C01081	Thiamin_monophosphate	0	<0.01
C00492	Raffinose	0	<0.01
C00555	4-Aminobutyraldehyde	0	<0.01
C00882	Dephospho-CoA	0	<0.01
C00079	L-Phenylalanine	0	<0.05
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	0	<0.01
C02352	1,4-beta-D-Xylan	0	<0.01
C03175	Shikimate_3-phosphate	0	<0.01
C00089	Sucrose	0	<0.01
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0	<0.01
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0	<0.01
C05936	N4-Acetylaminobutanal	0	<0.01
C00106	Uracil	0	<0.01
C00103	D-Glucose_1-phosphate	0	<0.01
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	0	<0.01
C02670	D-Glucuronolactone	0	<0.01
C00179	Agmatine	0	<0.01
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0	<0.05
C00853	Cob(I)alamin	0	<0.01
C01179	3-(4-Hydroxyphenyl)pyruvate	0	<0.01
C04411	(2R,3S)-3-Isopropylmalate	0	<0.01
C04257	N-Acetyl-D-mannosamine_6-phosphate	0	<0.01
C00512	S-Benzoate_coenzyme_A	0	<0.01
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	0	<0.01
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	0	<0.01
C16618	6-Thioxanthine_5'-monophosphate	0	<0.01
C00637	Indole-3-acetaldehyde	0	<0.01
C05985	2-Propynal	0	<0.01
C00025	L-Glutamate	0	<0.01
C00147	Adenine	0	<0.01
C05807	2-Polyprenylphenol	0	<0.01
C11437	1-Deoxy-D-xylulose_5-phosphate	0	<0.01
C00644	D-Mannitol_1-phosphate	0	<0.01
C02739	1-(5-Phospho-D-ribosyl)-ATP	0	<0.01
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	0	<0.01
C01137	S-Adenosylmethioninamine	0	<0.01
C06407	Precorrin_4	0	<0.01
C00804	Propynoate	0	<0.01
C11545	Cobalt-precorrin_8	0	<0.01
C11540	Cobalt-precorrin_4	0	<0.01
C11542	Cobalt-precorrin_6	0	<0.01
C11543	Cobalt-dihydro-precorrin_6	0	<0.01
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0	<0.01
C00416	Phosphatidate	0	<0.01
C11355	4-Amino-4-deoxychorismate	0	<0.01
C00624	N-Acetyl-L-glutamate	0	<0.01
C02170	Methylmalonate	0	<0.01
C01099	L-Fuculose_1-phosphate	0	<0.01
C01096	Sorbitol_6-phosphate	0	<0.01
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	0	<0.01
C03752	2-Amino-2-deoxy-D-gluconate	0	<0.01
C00663	beta-D-Glucose_1-phosphate	0	<0.01
C01346	dUDP	0	<0.01
C11924	Perillic_acid	0	<0.01
C05811	2-Octaprenyl-6-hydroxyphenol	0	<0.01
C05810	2-Octaprenylphenol	0	<0.01
C00185	Cellobiose	0	<0.01
C02946	4-Acetamidobutanoate	0	<0.01
C06715	3-Oxopimeloyl-CoA	0	<0.01
C16466	7-Methyl-3-oxo-6-octenoyl-CoA	0	<0.01
C00254	Prephenate	0	<0.01
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	0	<0.01
C00527	Glutaryl-CoA	0	<0.01
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	0	<0.01
C00522	(R)-Pantoate	0	<0.01
C00068	Thiamin_diphosphate	0	<0.01
C04133	N-Acetyl-L-glutamate_5-phosphate	0	<0.01
C03722	Quinolinate	0	<0.01
C05402	Melibiose	0	<0.01
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0	<0.01
C01228	Guanosine_3',5'-bis(diphosphate)	0	<0.01
C00233	4-Methyl-2-oxopentanoate	0	<0.01
C01613	Stachyose	0	<0.01
C00155	L-Homocysteine	0	<0.01
C02835	Imidazole-4-acetate	0	<0.01
C02336	beta-D-Fructose	0	<0.01
C17551	2-Polyprenyl-6-hydroxyphenol	0	<0.01
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	0	<0.01
C05665	3-Aminopropanal	0	<0.01
C00409	Methanethiol	0	<0.01
C06056	4-Hydroxy-L-threonine	0	<0.01
C06055	O-Phospho-4-hydroxy-L-threonine	0	<0.01
C06032	D-erythro-3-Methylmalate	0	<0.01
C02576	Perillyl_aldehyde	0	<0.01
C03974	2-Acyl-sn-glycerol_3-phosphate	0	<0.01
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	0	<0.01
C01801	Deoxyribose	0	<0.01
C00270	N-Acetylneuraminate	0	<0.01
C00900	2-Acetolactate	0	<0.01
C00475	Cytidine	0	<0.01
C05698	Selenohomocysteine	0	<0.01
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	0	<0.01
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	0	<0.01
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0	<0.01
C05596	p-Hydroxyphenylacetylglycine	0	<0.01
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	0	<0.01
C00121	D-Ribose	0	<0.01
C00122	Fumarate	0	<0.01
C15532	N-Acetyl-L-citrulline	0	<0.01
C20589	D-Glucosaminate-6-phosphate	0	<0.01
C00197	3-Phospho-D-glycerate	0	<0.01
C05130	Imidazole-4-acetaldehyde	0	<0.01
C20423	alpha-D-Ribose_1-methylphosphonate_5-phosphate	0	<0.01
C20422	alpha-D-Ribose_1-methylphosphonate_5-triphosphate	0	<0.01
C00095	D-Fructose	-0.585	<0.01
C06187	Arbutin_6-phosphate	-0.585	<0.01
C00003	NAD+	-0.737	<0.01
C00645	N-Acetyl-D-mannosamine	-0.807	<0.01
C05844	5-L-Glutamyl-taurine	-1	<0.01
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-1	<0.01
C00363	dTDP	-1	<0.01
C04122	D-1-Aminopropan-2-ol_O-phosphate	-1	<0.05
C03740	(5-L-Glutamyl)-L-amino_acid	-1	<0.01
C05951	Leukotriene_D4	-1	<0.01
C04216	all-trans-Heptaprenyl_diphosphate	-1	<0.01
C05711	gamma-Glutamyl-beta-cyanoalanine	-1	<0.01
C06114	gamma-Glutamyl-beta-aminopropiononitrile	-1	<0.01
C05979	Propane-1-ol	-1	<0.01
C02457	Propane-1,3-diol	-1	<0.01
C00029	UDP-glucose	-1.263	<0.01
C02876	Propanoyl_phosphate	-1.322	<0.01
C00141	3-Methyl-2-oxobutanoic_acid	-1.322	<0.01
C00440	5-Methyltetrahydrofolate	-1.447	<0.01
C00037	Glycine	-1.528	<0.01
C16243	Cobalt-precorrin_5B	-1.585	<0.01
C00114	Choline	-1.585	<0.01
C00189	Ethanolamine	-1.585	<0.01
C00627	Pyridoxine_phosphate	-1.585	<0.01
C00018	Pyridoxal_phosphate	-1.585	<0.01
C05744	Acetoacetyl-[acp]	-1.585	<0.01
C01103	Orotidine_5'-phosphate	-1.737	<0.01
C16698	N-Acetylmuramic_acid_6-phosphate	-1.807	<0.01
C00526	Deoxyuridine	-1.807	<0.01
C00082	L-Tyrosine	-1.936	<0.01
C00385	Xanthine	-1.948	<0.01
C00681	1-Acyl-sn-glycerol_3-phosphate	-1.948	<0.01
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-2	<0.01
C00364	dTMP	-2	<0.01
C00310	D-Xylulose	-2	<0.01
C05773	Cobyrinate	-2	<0.01
C03406	N-(L-Arginino)succinate	-2	<0.01
C06399	Hydrogenobyrinate	-2	<0.01
C02642	3-Ureidopropionate	-2	<0.01
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2	<0.01
C00673	2-Deoxy-D-ribose_5-phosphate	-2	<0.01
C16220	3-Hydroxyoctadecanoyl-[acp]	-2	<0.05
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-2	<0.05
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-2	<0.05
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-2	<0.05
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-2	<0.01
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-2	<0.05
C05100	3-Ureidoisobutyrate	-2	<0.01
C18239	Precursor_Z	-2	<0.01
C01151	D-Ribose_1,5-bisphosphate	-2	<0.01
C00353	Geranylgeranyl_diphosphate	-2	<0.01
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-2	<0.05
C00237	CO	-2.057	<0.01
C00169	Carbamoyl_phosphate	-2.135	<0.01
C02995	Maltose_6'-phosphate	-2.17	<0.01
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-2.17	<0.01
C00052	UDP-alpha-D-galactose	-2.193	<0.01
C04419	Carboxybiotin-carboxyl-carrier_protein	-2.248	<0.01
C02430	L-Methionyl-tRNA	-2.322	<0.01
C00438	N-Carbamoyl-L-aspartate	-2.322	<0.01
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	<0.01
C00921	Dihydropteroate	-2.322	<0.01
C00144	GMP	-2.322	<0.01
C00415	Dihydrofolate	-2.322	<0.01
C09306	Sulfur_dioxide	-2.322	<0.01
C09332	Tetrahydrofolyl-[Glu](2)	-2.322	<0.01
C00242	Guanine	-2.396	<0.01
C00954	Indole-3-acetate	-2.415	<0.01
C00194	Cobamide_coenzyme	-2.415	<0.01
C11538	Cobalt-sirohydrochlorin	-2.585	<0.01
C01962	Thiocysteine	-2.585	<0.01
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-2.585	<0.01
C03892	Phosphatidylglycerophosphate	-2.585	<0.01
C00376	Retinal	-2.585	<0.01
C07490	Trichloroethanol	-2.585	<0.01
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-2.585	<0.01
C06416	Precorrin_5	-2.585	<0.01
C16551	Alcophosphamide	-2.585	<0.01
C01024	Hydroxymethylbilane	-2.585	<0.01
C03294	N-Formylmethionyl-tRNA	-2.585	<0.01
C02091	(S)-Ureidoglycine	-2.585	<0.01
C00083	Malonyl-CoA	-2.608	<0.01
C00199	D-Ribulose_5-phosphate	-2.784	<0.01
C00006	NADP+	-2.807	<0.01
C00266	Glycolaldehyde	-2.807	<0.01
C04051	5-Amino-4-imidazolecarboxyamide	-2.807	<0.01
C00718	Amylose	-2.807	<0.01
C03028	Thiamin_triphosphate	-2.807	<0.01
C02714	N-Acetylputrescine	-2.807	<0.01
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.807	<0.01
C00666	LL-2,6-Diaminoheptanedioate	-2.848	<0.01
C01134	Pantetheine_4'-phosphate	-2.874	<0.01
C06613	trans-3-Chloroallyl_aldehyde	-2.907	<0.01
C05762	3-Oxohexadecanoyl-[acp]	-2.907	<0.01
C05750	3-Oxooctanoyl-[acp]	-2.907	<0.01
C05753	3-Oxodecanoyl-[acp]	-2.907	<0.01
C16348	cis-3-Chloroallyl_aldehyde	-2.907	<0.01
C00167	UDP-glucuronate	-3	<0.01
C02987	L-Glutamyl-tRNA(Glu)	-3	<0.01
C03373	Aminoimidazole_ribotide	-3	<0.01
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.044	<0.01
C00204	2-Dehydro-3-deoxy-D-gluconate	-3.047	<0.01
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	<0.01
C01142	(3S)-3,6-Diaminohexanoate	-3.17	<0.01
C00402	D-Aspartate	-3.17	<0.01
C02218	Dehydroalanine	-3.17	<0.01
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.17	<0.01
C01079	Protoporphyrinogen_IX	-3.17	<0.01
C16237	Protein_N6-(lipoyl)lysine	-3.17	<0.01
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.237	<0.01
C15812	[Enzyme]-S-sulfanylcysteine	-3.322	<0.01
C00164	Acetoacetate	-3.322	<0.01
C03402	L-Asparaginyl-tRNA(Asn)	-3.322	<0.01
C00048	Glyoxylate	-3.322	<0.01
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-3.322	<0.01
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-3.322	<0.01
C05756	3-Oxododecanoyl-[acp]	-3.322	<0.01
C05759	3-Oxotetradecanoyl-[acp]	-3.322	<0.01
C16219	3-Oxostearoyl-[acp]	-3.322	<0.01
C00009	Orthophosphate	-3.322	<0.01
C00153	Nicotinamide	-3.322	<0.01
C05746	3-Oxohexanoyl-[acp]	-3.322	<0.01
C00019	S-Adenosyl-L-methionine	-3.343	<0.01
C00957	Mercaptopyruvate	-3.426	<0.01
C00035	GDP	-3.453	<0.01
C05336	Selenomethionyl-tRNA(Met)	-3.459	<0.01
C02163	L-Arginyl-tRNA(Arg)	-3.459	<0.01
C05823	3-Mercaptolactate	-3.459	<0.01
C02988	L-Histidyl-tRNA(His)	-3.459	<0.01
C00054	Adenosine_3',5'-bisphosphate	-3.459	<0.01
C00015	UDP	-3.481	<0.01
C00231	D-Xylulose_5-phosphate	-3.515	<0.01
C00886	L-Alanyl-tRNA	-3.585	<0.01
C20374	Enoylglutaryl-[acp]_methyl_ester	-3.585	<0.01
C20378	Enoylpimeloyl-[acp]_methyl_ester	-3.585	<0.01
